catalog_tv_audio_video;Blu-Ray и DVD плееры;blu-ray-and-dvd-players 
catalog_tv_audio_video;Домашние кинотеатры;home-cinema 
catalog_tv_audio_video;Музыкальные центры;stereo
catalog_tv_audio_video;ЖК телевизоры;lcd-tvs 
catalog_tv_audio_video;Плазменные телевизоры;plasma-tvs
catalog_tv_audio_video;LED-телевизоры;led-tvs 
catalog_tv_audio_video;3D-телевизоры;3d-tv 
catalog_tv_audio_video;ЖК моноблоки;lcd-monoblocks
catalog_tv_audio_video;MP3-плееры;mp3-players 
catalog_tv_audio_video;Спутниковое оборудование;satellite-equipment 
catalog_tv_audio_video;Hi-Fi аппаратура;hi-fi-equipment 
catalog_tv_audio_video;Акустические системы;speakers
catalog_tv_audio_video;Ресиверы;receivers 
catalog_tv_audio_video;Сабвуферы;subwoofers
catalog_tv_audio_video;Электронные книги;electronic-books
catalog_tv_audio_video;Музыкальные инструменты;musical-instruments 
catalog_tv_audio_video;Портативное аудио;portable-audio
catalog_automotive;Автомобильные видеорегистраторы;car-video-recorder
catalog_automotive;GPS-навигаторы;gps-navigators
catalog_automotive;Автомобильные магнитолы;car-radio 
catalog_automotive;Радары-детекторы;radar-detectors 
catalog_automotive;FM конверторы;fm-converters
catalog_automotive;Автоcигнализации;avtocignalizatsii
catalog_automotive;Автоакустика;car-audio
catalog_automotive;Автоантенны;avtoantenny
catalog_automotive;Автохолодильники;auto-refrigerators 
catalog_automotive;Алкотестеры;breathalyzer 
catalog_automotive;ЖК дисплеи и ТВ;lcd-displays-and-tv
catalog_automotive;Камеры;cameras
catalog_automotive;Подогрев сидений;heated-seats 
catalog_household_appliances;Электрические плиты;electric-stoves
catalog_household_appliances;Газовые плиты;gas-cookers
catalog_household_appliances;Холодильники;refrigerators
catalog_household_appliances;Морозильники;freezers 
catalog_household_appliances;Комбинированные плиты;combination-plates 
catalog_household_appliances;Микроволновые печи;microwaves 
catalog_household_appliances;Вытяжки;hoods
catalog_household_appliances;Посудомоечные машины;dishwashers
catalog_household_appliances;Пылесосы;vacuum-cleaner 
catalog_household_appliances;Стиральные машины;washing-machines 
catalog_household_appliances;Сушильные машины;dryers 
catalog_household_appliances;Вентиляторы;fans 
catalog_household_appliances;Водонагреватели накопительные;storage-water-heaters
catalog_household_appliances;Водонагреватели проточные;instantaneous-water-heaters
catalog_household_appliances;Воздухоочистители;air
catalog_household_appliances;Вытяжки;hoods
catalog_household_appliances;Кондиционеры;air-conditioners 
catalog_household_appliances;Обогреватели;heaters
catalog_household_appliances;Увлажнители;humidifiers
catalog_household_appliances;Газовые варочные поверхности;gas-hobs 
catalog_household_appliances;Электрические варочные поверхности;electric-hobs
catalog_household_appliances;Электрические духовые шкафы;electric-ovens 
catalog_household_appliances;Встраиваемые холодильники;built-in-refrigerators 
catalog_small_appliances;Аэрогрили;Aerogrili
catalog_small_appliances;Блендеры;Blenders 
catalog_small_appliances;Блинницы;Crepes 
catalog_small_appliances;Вафельницы;Waffle 
catalog_small_appliances;Весы кухонные;kitchen-scales 
catalog_small_appliances;Грили;Greeley
catalog_small_appliances;Измельчители;Grinders 
catalog_small_appliances;Йогуртницы;Yogurtnitsy
catalog_small_appliances;Кофеварки;Coffee-Makers
catalog_small_appliances;Кофемашины;Coffee-Maker 
catalog_small_appliances;Кофемолки;Grinders 
catalog_small_appliances;Кухонные комбайны;Food-Processors
catalog_small_appliances;Ломторезки;Lomtorezki 
catalog_small_appliances;Микроволновые печи;Microwaves 
catalog_small_appliances;Миксеры;Mixers 
catalog_small_appliances;Мини печи;mini-oven
catalog_small_appliances;Мультиварки;Multivarki 
